Date,Cases,Incidence
2005-01-01,10,7.35294E-07
2005-01-02,4,2.94118E-07
2005-01-03,8,5.88235E-07
2005-01-04,9,6.61765E-07
2005-01-05,11,8.08824E-07
2005-01-06,6,4.41176E-07
2005-01-07,9,6.61765E-07
2005-01-08,7,5.14706E-07
2005-01-09,9,6.61765E-07
2005-01-10,8,5.88235E-07
2005-01-11,14,1.02941E-06
2005-01-12,6,4.41176E-07
2005-01-13,8,5.88235E-07
2005-01-14,9,6.61765E-07
2005-01-15,6,4.41176E-07
2005-01-16,7,5.14706E-07
2005-01-17,15,1.10294E-06
2005-01-18,5,3.67647E-07
2005-01-19,7,5.14706E-07
2005-01-20,11,8.08824E-07
2005-01-21,10,7.35294E-07
2005-01-22,3,2.20588E-07
2005-01-23,8,5.88235E-07
2005-01-24,11,8.08824E-07
2005-01-25,10,7.35294E-07
2005-01-26,8,5.88235E-07
2005-01-27,5,3.67647E-07
2005-01-28,10,7.35294E-07
2005-01-29,6,4.41176E-07
2005-01-30,6,4.41176E-07
2005-01-31,6,4.41176E-07
2005-02-01,8,5.88235E-07
2005-02-02,10,7.35294E-07
2005-02-03,7,5.14706E-07
2005-02-04,9,6.61765E-07
2005-02-05,6,4.41176E-07
2005-02-06,6,4.41176E-07
2005-02-07,13,9.55882E-07
2005-02-08,11,8.08824E-07
2005-02-09,7,5.14706E-07
2005-02-10,12,8.82353E-07
2005-02-11,5,3.67647E-07
2005-02-12,8,5.88235E-07
2005-02-13,2,1.47059E-07
2005-02-14,17,0.00000125
2005-02-15,11,8.08824E-07
2005-02-16,11,8.08824E-07
2005-02-17,6,4.41176E-07
2005-02-18,11,8.08824E-07
2005-02-19,3,2.20588E-07
2005-02-20,5,3.67647E-07
2005-02-21,4,2.94118E-07
2005-02-22,9,6.61765E-07
2005-02-23,3,2.20588E-07
2005-02-24,6,4.41176E-07
2005-02-25,9,6.61765E-07
2005-02-26,4,2.94118E-07
2005-02-27,6,4.41176E-07
2005-02-28,10,7.35294E-07
2005-03-01,5,3.67647E-07
2005-03-02,6,4.41176E-07
2005-03-03,7,5.14706E-07
2005-03-04,9,6.61765E-07
2005-03-05,3,2.20588E-07
2005-03-06,3,2.20588E-07
2005-03-07,7,5.14706E-07
2005-03-08,7,5.14706E-07
2005-03-09,12,8.82353E-07
2005-03-10,7,5.14706E-07
2005-03-11,5,3.67647E-07
2005-03-12,5,3.67647E-07
2005-03-13,3,2.20588E-07
2005-03-14,9,6.61765E-07
2005-03-15,10,7.35294E-07
2005-03-16,8,5.88235E-07
2005-03-17,4,2.94118E-07
2005-03-18,10,7.35294E-07
2005-03-19,4,2.94118E-07
2005-03-20,3,2.20588E-07
2005-03-21,5,3.67647E-07
2005-03-22,4,2.94118E-07
2005-03-23,8,5.88235E-07
2005-03-24,15,1.10294E-06
2005-03-25,6,4.41176E-07
2005-03-26,9,6.61765E-07
2005-03-27,6,4.41176E-07
2005-03-28,11,8.08824E-07
2005-03-29,18,1.32353E-06
2005-03-30,9,6.61765E-07
2005-03-31,4,2.94118E-07
2005-04-01,15,1.10294E-06
2005-04-02,13,9.55882E-07
2005-04-03,2,1.47059E-07
2005-04-04,10,7.35294E-07
2005-04-05,12,8.82353E-07
2005-04-06,7,5.14706E-07
2005-04-07,8,5.88235E-07
2005-04-08,11,8.08824E-07
2005-04-09,4,2.94118E-07
2005-04-10,4,2.94118E-07
2005-04-11,12,8.82353E-07
2005-04-12,7,5.14706E-07
2005-04-13,5,3.67647E-07
2005-04-14,10,7.35294E-07
2005-04-15,13,9.55882E-07
2005-04-16,7,5.14706E-07
2005-04-17,2,1.47059E-07
2005-04-18,9,6.61765E-07
2005-04-19,7,5.14706E-07
2005-04-20,7,5.14706E-07
2005-04-21,8,5.88235E-07
2005-04-22,6,4.41176E-07
2005-04-23,3,2.20588E-07
2005-04-24,7,5.14706E-07
2005-04-25,13,9.55882E-07
2005-04-26,4,2.94118E-07
2005-04-27,11,8.08824E-07
2005-04-28,10,7.35294E-07
2005-04-29,8,5.88235E-07
2005-04-30,4,2.94118E-07
2005-05-01,10,7.35294E-07
2005-05-02,12,8.82353E-07
2005-05-03,4,2.94118E-07
2005-05-04,11,8.08824E-07
2005-05-05,14,1.02941E-06
2005-05-06,8,5.88235E-07
2005-05-07,4,2.94118E-07
2005-05-08,3,2.20588E-07
2005-05-09,10,7.35294E-07
2005-05-10,14,1.02941E-06
2005-05-11,12,8.82353E-07
2005-05-12,6,4.41176E-07
2005-05-13,7,5.14706E-07
2005-05-14,6,4.41176E-07
2005-05-15,5,3.67647E-07
2005-05-16,7,5.14706E-07
2005-05-17,8,5.88235E-07
2005-05-18,4,2.94118E-07
2005-05-19,7,5.14706E-07
2005-05-20,9,6.61765E-07
2005-05-21,6,4.41176E-07
2005-05-22,8,5.88235E-07
2005-05-23,10,7.35294E-07
2005-05-24,14,1.02941E-06
2005-05-25,6,4.41176E-07
2005-05-26,15,1.10294E-06
2005-05-27,14,1.02941E-06
2005-05-28,9,6.61765E-07
2005-05-29,4,2.94118E-07
2005-05-30,8,5.88235E-07
2005-05-31,13,9.55882E-07
2005-06-01,15,1.10294E-06
2005-06-02,6,4.41176E-07
2005-06-03,19,1.39706E-06
2005-06-04,7,5.14706E-07
2005-06-05,17,0.00000125
2005-06-06,16,1.17647E-06
2005-06-07,12,8.82353E-07
2005-06-08,17,0.00000125
2005-06-09,13,9.55882E-07
2005-06-10,12,8.82353E-07
2005-06-11,7,5.14706E-07
2005-06-12,9,6.61765E-07
2005-06-13,15,1.10294E-06
2005-06-14,14,1.02941E-06
2005-06-15,17,0.00000125
2005-06-16,8,5.88235E-07
2005-06-17,13,9.55882E-07
2005-06-18,11,8.08824E-07
2005-06-19,10,7.35294E-07
2005-06-20,16,1.17647E-06
2005-06-21,6,4.41176E-07
2005-06-22,11,8.08824E-07
2005-06-23,11,8.08824E-07
2005-06-24,17,0.00000125
2005-06-25,11,8.08824E-07
2005-06-26,13,9.55882E-07
2005-06-27,16,1.17647E-06
2005-06-28,15,1.10294E-06
2005-06-29,8,5.88235E-07
2005-06-30,15,1.10294E-06
2005-07-01,19,1.39706E-06
2005-07-02,12,8.82353E-07
2005-07-03,13,9.55882E-07
2005-07-04,20,1.47059E-06
2005-07-05,22,1.61765E-06
2005-07-06,16,1.17647E-06
2005-07-07,16,1.17647E-06
2005-07-08,14,1.02941E-06
2005-07-09,10,7.35294E-07
2005-07-10,12,8.82353E-07
2005-07-11,20,1.47059E-06
2005-07-12,15,1.10294E-06
2005-07-13,20,1.47059E-06
2005-07-14,18,1.32353E-06
2005-07-15,21,1.54412E-06
2005-07-16,10,7.35294E-07
2005-07-17,10,7.35294E-07
2005-07-18,14,1.02941E-06
2005-07-19,20,1.47059E-06
2005-07-20,25,1.83824E-06
2005-07-21,20,1.47059E-06
2005-07-22,9,6.61765E-07
2005-07-23,6,4.41176E-07
2005-07-24,9,6.61765E-07
2005-07-25,11,8.08824E-07
2005-07-26,17,0.00000125
2005-07-27,13,9.55882E-07
2005-07-28,7,5.14706E-07
2005-07-29,15,1.10294E-06
2005-07-30,12,8.82353E-07
2005-07-31,11,8.08824E-07
2005-08-01,12,8.82353E-07
2005-08-02,17,0.00000125
2005-08-03,25,1.83824E-06
2005-08-04,15,1.10294E-06
2005-08-05,16,1.17647E-06
2005-08-06,13,9.55882E-07
2005-08-07,8,5.88235E-07
2005-08-08,27,1.98529E-06
2005-08-09,17,0.00000125
2005-08-10,18,1.32353E-06
2005-08-11,10,7.35294E-07
2005-08-12,17,0.00000125
2005-08-13,13,9.55882E-07
2005-08-14,5,3.67647E-07
